"acousticness","artists","danceability","duration_ms","energy","explicit","id","instrumentalness","key","liveness","loudness","mode","name","popularity","release_date","speechiness","tempo","valence","year","duration_s"
0.00146,"['The Weeknd']",0.514,200040,0.73,0,"0VjIjW4GlUZAMYd2vXMi3b",9.54e-05,1,0.0897,-5.934,1,"Blinding Lights",100,"2020-03-20",0.0598,171.005,0.334,2020,200
0.247,"['DaBaby', 'Roddy Ricch']",0.746,181733,0.69,1,"7ytR5pFWmSjzHJIeQkgog4",0,11,0.101,-7.956,1,"ROCKSTAR (feat. Roddy Ricch)",99,"2020-04-17",0.164,89.977,0.497,2020,181.7
0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,0,"7eJMfftS33KTjuF7lTsMCx",0,8,0.696,-8.765,0,"death bed (coffee for your head) (feat. beabadoobee)",97,"2020-02-08",0.135,144.026,0.348,2020,173.3
0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,165978,0.537,1,"39Yp9wwQiSRIDOvrVg7mbk",0,0,0.157,-7.648,0,"THE SCOTTS",96,"2020-04-24",0.0514,129.979,0.28,2020,166
0.104,"['Roddy Ricch']",0.896,196653,0.586,1,"0nbXyq5TXYPCO7pr3N8S4I",0,10,0.79,-6.687,0,"The Box",95,"2019-12-06",0.0559,116.971,0.642,2019,196.7
0.305,"['BENEE', 'Gus Dapperton']",0.863,223480,0.631,1,"4nK5YrxbMGZstTLbvj6Gxw",3.04e-05,7,0.123,-4.689,1,"Supalonely",95,"2019-11-15",0.0534,128.977,0.817,2019,223.5
0.0686,"['Surf Mesa', 'Emilee']",0.674,176547,0.774,0,"62aP9fBQKYKxi7PDXwcUAS",0.00188,11,0.393,-7.567,0,"ily (i love you baby) (feat. Emilee)",95,"2019-11-26",0.0892,112.05,0.33,2019,176.5
0.321,"['Drake']",0.834,247059,0.454,1,"127QTOFJsJQp5LbJbu3A1y",6.15e-06,1,0.114,-9.75,0,"Toosie Slide",95,"2020-04-03",0.201,81.618,0.837,2020,247.1
0.692,"['Tones And I']",0.824,209438,0.588,0,"2XU0oxnq2qxCpomAAuJY8K",0.000104,6,0.149,-6.4,0,"Dance Monkey",94,"2019-10-17",0.0924,98.027,0.513,2019,209.4
0.749,"['StaySolidRocky']",0.728,147800,0.431,0,"5RqR4ZCCKJDcBLIn4sih9l",0,6,0.0996,-9.966,0,"Party Girl",94,"2020-04-21",0.0622,130.022,0.629,2020,147.8
